Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius
Rotary_9N_4tests-REVERSE_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.Fx (N),DAQ.COF (),Rotary.Position (rev),Rotary.Velocity (rpm),XYZ.X Position (mm),XYZ.Z Position (mm),XYZ.Y Position (mm),,DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step)
4,19.688,4,8.983656,1.533078,nan,155.8463,477.255,0,-115.3819,-9.33,,nan,nan,nan
4,19.788,4,8.98713,1.501971,nan,156.61,477.7837,0,-115.3817,-9.33,,nan,nan,nan
4,19.888,4,8.986876,1.519611,nan,157.3763,477.4575,0,-115.3819,-9.33,,nan,nan,nan
4,19.988,4,8.986365,1.477846,nan,158.1263,477.4625,0,-115.3822,-9.33,,nan,nan,nan
4,20.088,4,8.989703,1.490124,nan,159.0762,477.3062,0,-115.3822,-9.33,,nan,nan,nan
4,20.188,4,8.980083,1.53717,nan,159.8562,477.39,0,-115.382,-9.33,,nan,nan,nan
4,20.288,4,8.980777,1.555875,nan,160.6225,477.6088,0,-115.382,-9.33,,nan,nan,nan
4,20.388,4,8.981876,1.581731,nan,161.39,476.9838,0,-115.382,-9.33,,nan,nan,nan
4,20.488,4,8.980064,1.532065,nan,162.1638,477.405,0,-115.382,-9.33,,nan,nan,nan
4,20.588,4,8.986489,1.53275,nan,162.9275,477.7538,0,-115.3821,-9.33,,nan,nan,nan
4,20.688,4,8.984827,1.522527,nan,163.6725,477.4375,0,-115.3822,-9.33,,nan,nan,nan
4,20.788,4,8.989328,1.493638,nan,164.6213,477.2063,0,-115.3823,-9.33,,nan,nan,nan
4,20.888,4,8.986328,1.565445,nan,165.3863,477.6137,0,-115.3825,-9.33,,nan,nan,nan
4,20.988,4,8.979588,1.562519,nan,166.1475,477.4662,0,-115.3825,-9.33,,nan,nan,nan
4,21.088,4,8.987409,1.549718,nan,166.92,477.35,0,-115.3826,-9.33,,nan,nan,nan
