Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_3N_4tests_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.Fx (N),DAQ.COF (),Rotary.Velocity (rpm),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),
4,23.244,4,2.986791,0.4899304,0.1640324,119.085,0,-9.33,-114.607,
4,23.344,4,2.991033,0.490424,0.1639648,119.085,0,-9.33,-114.6071,
4,23.444,4,2.99781,0.5094864,0.1699529,119.9675,0,-9.33,-114.6071,
4,23.544,4,2.994773,0.4857737,0.1622072,119.44,0,-9.33,-114.6071,
4,23.644,4,3.00251,0.5131561,0.170909,119.1562,0,-9.33,-114.6072,
4,23.744,4,2.98789,0.4888393,0.1636068,119.1225,0,-9.33,-114.6071,
4,23.844,4,2.99067,0.4923432,0.1646264,119.6687,0,-9.33,-114.6071,
4,23.944,4,2.997538,0.515793,0.1720722,119.5575,0,-9.33,-114.6072,
4,24.044,4,2.993915,0.4831173,0.1613664,119.5088,0,-9.33,-114.6074,
4,24.144,4,3.003021,0.5098826,0.1697899,119.1012,0,-9.33,-114.6074,
4,24.244,4,2.989321,0.4924472,0.1647355,118.9238,0,-9.33,-114.6074,
4,24.344,4,2.992395,0.494925,0.1653943,119.8425,0,-9.33,-114.6074,
4,24.444,4,3.001668,0.5105029,0.1700731,119.6862,0,-9.33,-114.6076,
4,24.544,4,2.99316,0.4794152,0.1601703,119.025,0,-9.33,-114.6075,
4,24.644,4,3.003306,0.5056837,0.1683757,119.2313,0,-9.33,-114.6072,
4,24.744,4,2.988317,0.4915217,0.1644811,119.03,0,-9.33,-114.607,
4,24.844,4,2.988615,0.4874948,0.1631173,119.7825,0,-9.33,-114.607,
4,24.944,4,2.997277,0.5124643,0.1709766,119.8013,0,-9.33,-114.607,
4,25.044,4,2.991534,0.4860757,0.1624838,119.2463,0,-9.33,-114.607,
4,25.144,4,3.001145,0.5078238,0.16921,119.3325,0,-9.33,-114.607,
4,25.244,4,2.989859,0.4905539,0.1640726,119.04,0,-9.33,-114.607,
4,25.344,4,2.9898,0.4885502,0.1634056,119.4225,0,-9.33,-114.6074,
4,25.444,4,2.999686,0.517696,0.1725834,119.8388,0,-9.33,-114.6075,
4,25.544,4,2.99576,0.4809545,0.1605451,118.9112,0,-9.33,-114.6077,
4,25.644,4,3.005219,0.5071483,0.1687558,119.0963,0,-9.33,-114.6077,
4,25.744,4,2.991859,0.4947756,0.1653739,119.0925,0,-9.33,-114.6075,
4,25.844,4,2.990819,0.4900213,0.1638419,119.9212,0,-9.33,-114.6076,
4,25.944,4,3.000272,0.5167152,0.1722228,119.515,0,-9.33,-114.6076,
4,26.044,4,2.992209,0.483757,0.1616722,119.3187,0,-9.33,-114.6076,
4,26.144,4,3.002934,0.5038262,0.167778,119.1338,0,-9.33,-114.6075,
4,26.244,4,2.993773,0.4976658,0.1662337,119.035,0,-9.33,-114.6075,
4,26.344,4,2.988766,0.4877514,0.1631949,119.8162,0,-9.33,-114.6074,
4,26.444,4,3.001333,0.5159553,0.1719087,119.365,0,-9.33,-114.6074,
4,26.544,4,2.992962,0.4835005,0.1615458,119.0625,0,-9.33,-114.6077,
4,26.644,4,3.006569,0.5030663,0.1673224,119.1387,0,-9.33,-114.608,
4,26.744,4,2.995584,0.4972306,0.1659879,118.95,0,-9.33,-114.6079,
4,26.844,4,2.989804,0.486605,0.1627549,119.79,0,-9.33,-114.6078,
4,26.944,4,3.001513,0.5189884,0.1729089,119.67,0,-9.33,-114.6076,
4,27.044,4,2.991417,0.4821236,0.161169,119.4088,0,-9.33,-114.6077,
4,27.144,4,3.004745,0.5072814,0.1688268,119.19,0,-9.33,-114.6077,
4,27.244,4,2.995829,0.5028617,0.167854,119.3913,0,-9.33,-114.6075,
4,27.344,4,2.989782,0.4904955,0.1640573,119.9625,0,-9.33,-114.6076,
4,27.444,4,3.002064,0.5172543,0.1722995,119.1925,0,-9.33,-114.6076,
